Diagnosed Diabetes Est. Percent,Unemployment Rate,Household Median Income,Perc_Adults_LessThanHS,Perc_Adults_HSOnly,Perc_Adults_AssociateSomeCollege,Perc_Adults_BAorHigher,Obesity_Prev_Percent,Leisure_Time_Physical_Inactivity_Perc,Median_Age
12.4,5.9,54487,12.417,34.331,28.66,24.593,36.4,30.9,37.9
11.1,6.1,56460,9.972,28.692,31.788,29.547,29.3,24.5,41.8
18.2,10.6,32884,26.236,34.927,25.969,12.868,44.2,30.6,38.3
14.6,7.2,43079,19.302,41.816,26.883,12,38.4,37.5,40
14.4,6.1,47213,19.969,32.942,34.039,13.05,35.8,29,40.2
19.5,8.8,34278,33.438,34.147,22.16,10.255,40.2,29.8,38.5
17.5,8.6,35409,18.94,39.852,25.127,16.08,36,33.9,40.5
16.3,8,41778,17.663,32.072,32.612,17.653,36.1,32.5,38.8
16,6.7,39530,19.737,39.411,28.368,12.484,38,32.6,43.1
12.9,5.8,41456,18.717,35.958,31.363,13.962,35.5,35.9,45.2
14.1,6.3,44188,19.902,41.254,23.989,14.855,36,29.8,38.3
16.6,9,32691,21.147,37.257,29.636,11.96,39.5,33.1,44.6
16.8,12.2,34061,18.958,45.118,23.787,12.137,38.4,29.4,41.1
14.4,7.2,38512,25.386,34.575,28.975,11.063,38.1,31.6,43.6
12.7,6.6,43483,25.815,37.97,24.686,11.528,34.6,32.2,41.3
15.5,6.7,48632,14.864,29.344,32.126,23.667,34.2,29.8,38.2
17.4,8.3,46572,16.577,34.849,30.104,18.471,34.6,30.9,42.3
18.2,10.4,29758,20.572,46.208,24.557,8.663,38.2,31,43.6
15.6,8.8,36441,27.065,36.335,26.66,9.941,40.1,29.6,44.8
14.1,7.8,35010,19.066,34.407,31.606,14.921,33.8,30.9,42.6
15.1,6.9,37374,21.684,38.53,25.139,14.648,39.6,29.9,41
16.3,6.1,41543,17.844,35.126,32.062,14.969,34.6,29.3,40.5
14.3,7.1,40523,14.165,33.07,36.696,16.069,36.5,28.8,36.6
17.5,11.3,30488,20.982,36.456,28.778,13.784,42.4,29.8,37.9
12.2,6.9,37128,27.363,34.273,26.998,11.366,30.5,32,38.8
13.2,5.7,54553,13.172,35.443,29.146,22.238,36.5,29.6,37.6
18.7,8,35096,19.544,43.432,25.398,11.626,38.6,32,39.4
15.5,7.1,40972,17.549,32.546,33.413,16.492,36.8,34.2,40.5
14.4,7.9,38403,20.769,39.039,26.046,14.145,35.6,36.6,43.4
13.6,7.7,37049,24.331,36.688,26.591,12.39,33.2,37.7,38.5
15.8,6.7,36976,22.313,35.959,30.066,11.662,36.6,29.3,41.9
21.1,12.5,26559,23.051,40.972,26.002,9.975,42.3,31.5,42.5
17.1,9.9,35381,18.604,42.79,24.577,14.029,41.4,33.5,40.6
18.9,7.5,41426,19.303,36.143,28.41,16.144,37.8,31,43.1
13.6,6.8,42910,15.096,32.128,31.758,21.018,33.3,29.3,38.7
14.2,7.3,41407,20.515,41.138,25.768,12.578,36.9,31.6,42.1
12.9,6.3,50109,11.005,26.477,31.078,31.44,33.2,28.4,37.4
14.6,7,38358,22.585,35.367,28.986,13.063,33.8,33.9,42.6
14.1,7.2,44124,15.137,34.601,28.582,21.679,34.8,30.5,40.9
14,8.2,43107,22.457,39.869,27.366,10.309,33.6,36.8,41.6
10.1,5.6,47749,11.288,24.539,29.762,34.412,29.8,24.6,30.2
12.3,6.1,52181,16.843,31.983,27.913,23.261,33.6,30.4,38.8
20.3,12.8,32011,25.192,37.669,24.857,12.282,46.2,30.6,40.4
19.8,9.1,30681,19.534,31.207,29.217,20.042,47.8,32.4,37.8
12.3,6.2,61193,9.185,20.9,29.242,40.672,32.8,22.7,37.6
18.7,8,34794,16.142,40.244,28.825,14.789,39.4,33.6,42.1
17.6,7.9,36386,20.109,34.975,32.45,12.466,34.9,33.4,43.8
13,6.7,42117,21.395,31.894,30.144,16.567,33.7,30.6,38.6
14.7,7.8,45233,14.223,32.556,30.709,22.512,35.8,29.8,36.9
16.2,11.1,36639,17.968,45.075,24.562,12.395,39.2,32.3,40.9
13.2,6.9,45111,14.487,25.389,28.664,31.46,36.8,26.2,34.9
13,6.6,46843,17.509,30.071,30.991,21.429,31.5,29.1,39.1
20.9,12.1,25221,23.616,39.522,22.37,14.493,44.1,34.7,36.3
15.9,8.2,35968,18.901,39.925,30.055,11.119,35.4,29.1,42.3
13.4,7.4,35172,20.043,32.679,23.29,23.988,41.7,27.3,31.1
15.6,6.7,40283,22.739,36.4,25.482,15.379,33.9,29.9,42
12.6,6.5,38617,17.439,31.166,34.381,17.014,40.7,30.8,35
13.8,5.8,57856,16.517,36.126,31.254,16.104,36.3,30,39.5
9.4,4.5,74212,8.426,21.047,29.104,41.423,29.2,24.3,37.5
20.4,8.5,26814,20.017,41.592,20.271,18.12,40.3,30.8,36.8
16.3,7.8,40555,20.188,35.674,31.047,13.091,40.6,33.6,40.3
14.8,7.5,40169,20.36,35.285,27.039,17.316,36.7,33.3,42.5
12.6,5.9,47483,11.858,30.339,28.433,29.369,33.4,27.5,31.6
16,7.9,39511,21.445,36.609,31.403,10.543,36.2,33.1,42.4
17.8,9.6,37575,20.262,45.8,24.314,9.623,40.3,32.1,40.2
20,17,24216,20.145,44.913,23.639,11.302,42.6,34.1,39.3
13.3,8.6,38644,23.996,34.341,28.575,13.089,34.7,30.6,43.9
8.5,4.5,63991,15.639,42.043,30.373,11.945,34.9,26.9,41.3
7.6,4.8,78151,12.521,40.308,31.471,15.699,40.7,25.2,38.4
7.1,5.2,83959,6.715,23.955,35.032,34.298,27.8,17.4,32.6
6.5,16,46634,19.099,45.407,24.077,11.417,29.4,27.6,26.5
9,8,68026,7.396,34.823,38.675,19.106,39.1,24.6,40.1
6.2,10.3,72378,3.792,23.353,34.331,38.523,26.4,16.4,39.1
9,10,52250,13.208,36.863,32.365,17.564,40.5,22.9,29
5.6,5.7,73427,5.608,22.193,38.827,33.373,28.9,18.5,30.6
8.7,10.6,53471,4.548,25.663,29.345,40.444,24.8,19.2,43
8.4,15.1,53884,9.436,33.882,32.426,24.256,32.1,22.4,47.5
6,5,82011,4.375,21.195,34.996,39.434,28.8,15,37.3
7.2,7.8,68501,7.269,32.189,36.861,23.681,28.6,20.7,40.5
9.4,7.8,67125,7.966,31.746,36.519,23.77,34.5,21.4,38.8
6.9,5.7,74683,9.335,27.273,38.542,24.85,29.6,20.4,32.3
7.2,16.3,44310,13.653,42.515,31.377,12.455,31.8,24.1,28.9
7.9,8,71793,7.598,31.838,39.977,20.588,31.1,20.6,34.7
7,12.2,55974,15.076,43.082,27.932,13.91,33.5,26.3,27.9
7,5.9,74998,11.633,37.844,36.341,14.182,36.9,28.8,34.3
7.4,17,53692,20.881,44.953,23.404,10.762,35.7,25.7,26
7.2,9.4,60540,7.612,33.712,33.664,25.012,31.2,22.4,41.8
8.5,13.3,48888,9.48,39.121,35.607,15.792,34.4,26.4,40
7.1,5.1,72795,7.354,25.683,34.609,32.354,28.4,17.7,38.5
6.4,11.8,65112,3.47,24.907,37.918,33.705,28.7,16.7,42.2
8.2,13.2,59412,9.255,33.415,38.131,19.199,32.6,20.1,35.1
8.1,9.6,69755,7.215,27.326,35.371,30.088,30.9,20.3,37
9.4,8.4,56747,11.885,34.295,33.56,20.26,33.4,21.1,54.4
8.3,9.9,57687,5.543,40.798,33.925,19.734,31.2,25.3,40.5
9.1,18.9,37906,17.114,39.932,30.698,12.256,30.3,27,35
14.3,15.6,34040,21.758,33.493,33.69,11.059,33.7,23.8,33
10.1,8.4,45151,13.409,23.216,40.212,23.163,26.6,21.5,39.6
7.5,7.1,53643,11.085,21.603,33.103,34.209,22.8,16.2,31
10.8,8.3,40747,15.73,28.677,37.856,17.737,27.5,25.4,48
10.7,7.4,46714,14.581,32.932,39.163,13.324,31.9,26.3,32
10.6,6.5,61110,12.145,36.798,38.86,12.197,29.5,21.4,33.5
14.9,7.6,34285,24.842,36.443,28.278,10.437,28.1,28.8,54.6
9,5.8,58742,13.052,22.943,33.037,30.969,26.3,19,35.3
12.6,8.7,42003,16.146,35.989,35.987,11.879,30.4,30.1,48.6
13.1,11.1,37440,18.494,30.345,36.669,14.492,31.4,25.9,35.4
8.6,6,47644,12.252,22.594,34.353,30.801,24.9,18.1,37.9
12,7,52642,15.083,29.202,37.243,18.471,32.6,25.2,36.6
9,12.9,39090,25.207,26.162,26.138,22.493,23.7,19,36.2
10.4,6.3,49824,9.831,25.798,38.83,25.542,23.3,21.9,50.8
12.9,22.9,42998,28.28,25.564,31.77,14.387,31,28.2,33.6
12.9,5.4,39726,17.481,40.588,27.501,14.429,31.9,36.2,41.6
15.1,9.3,41277,16.105,39.736,30.571,13.587,42.1,40.8,40.7
16.4,6.7,40147,12.782,34.353,35.126,17.738,34.1,35,51.1
9.1,4.6,64072,12.766,30.489,26.021,30.723,30.8,26.4,34.9
14,6,39881,15.021,34.562,35.449,14.968,37.8,34.2,41.5
13.8,8.4,34114,20.127,41.453,24.189,14.231,41.7,37.6,40.3
14.6,6.7,33507,16.766,49.622,21.598,12.014,36.5,33.7,44.9
13.8,5.2,37145,16.187,34.932,31.189,17.692,34,33.4,44.7
15,10.6,29527,19.928,42.029,24.909,13.134,43.4,33.5,42
11.1,7,37247,13.469,30.865,30.949,24.717,34.2,35.4,34.1
13.7,7.9,36037,20.884,42.416,25.351,11.349,35.2,35.6,43.8
12.8,8.3,42397,16.683,38.191,29.743,15.382,33.7,44.4,46.8
13.9,6.9,45256,13.872,43.906,26.476,15.747,35.2,33.3,41.4
13.4,7.2,35322,14.834,39.235,24.016,21.915,34.2,36.1,35.8
14.7,7.2,41892,15.032,42.298,25.751,16.919,37.9,33.9,40.1
13,5.5,44091,12.049,34.232,28.327,25.392,35.6,33.5,33.4
12.2,6,42941,14.721,39.973,31.757,13.55,33.9,29.7,38.6
15.2,7.5,37627,18.228,35.578,28.803,17.391,40.4,36.7,34.2
14.1,6.4,40970,19.349,43.996,21.907,14.748,39.4,39,40.1
15.1,9.4,33679,16.559,48.898,21.856,12.688,38.6,36.8,43.4
15.8,8.1,32392,23.87,39.688,23.258,13.184,39,35.3,39.6
13.9,8.5,40441,18.35,36.916,24.89,19.844,36.8,34.5,37.7
11.3,5.6,50909,8.927,30.651,31.308,29.114,33.1,31.2,31.5
14.6,5.7,40091,18.852,40.827,27.307,13.014,32.6,36.5,40.3
16.1,5.8,33451,16.085,40.678,32.203,11.034,30.9,32,47.6
13,6.4,42087,11.641,31.331,36.405,20.623,30.5,34.2,44.1
12.6,5.5,54411,9.979,41.605,28.58,19.837,39.2,34.4,39.7
14.8,6.4,45208,14.747,42.98,25.83,16.443,33.3,37.2,38.2
12.8,6,38769,21.34,37.983,28.061,12.616,38.2,38.1,38.9
13.1,5.8,46313,14.126,41.619,30.773,13.483,35.3,35.1,40.2
14.5,5.9,36166,20.6,33.797,29.858,15.745,34.9,34.1,37.3
13.1,7.9,42520,15.512,37.537,29.332,17.619,36.4,31.5,38.5
16.6,7.6,36987,16.06,40.728,30.833,12.379,33.7,34.7,47.4
12.5,9.3,35098,23.39,42.067,25.898,8.646,34.4,38.5,40.9
17.2,8.8,38485,15.724,38.442,28.845,16.989,42,33.8,38
12.9,6.6,37205,20.991,43.097,19.971,15.941,37.6,32.5,38.1
15.8,7.9,32288,19.767,42.747,23.808,13.678,38.2,41.1,43.7
14.7,7.3,39015,18.264,41.152,27.173,13.411,32.4,40.5,40.8
14,7.7,26912,30.725,38.55,22.568,8.157,39.1,35.9,40.1
12.1,7.1,35419,20.947,50.243,21.007,7.803,36.5,35,37.2
13.8,6.6,43567,14.001,40.578,35.702,9.719,37.6,36.6,41.1
15.1,6,39361,17.208,43.913,25.867,13.012,39.1,34.4,42.6
13.8,5.2,56247,11.913,33.866,34.716,19.506,38.1,31.9,35.4
12.8,4.9,39059,19.64,47.116,21.913,11.331,34.7,35.3,41
14.3,6.3,33950,14.013,39.431,31.241,15.316,33.1,33.3,50.9
11.5,5.9,38412,14.47,39.221,31.812,14.497,33.7,37.7,37.6
16.6,9.3,35846,19.594,36.826,30.943,12.637,41.5,39.7,35.2
17.1,6.8,32906,21.822,41.7,27.425,9.053,35.9,36.9,44.7
16.2,8.1,36435,20.219,35.428,31.841,12.511,35.7,36.7,47.9
14.3,6.1,37612,16.869,45.022,23.051,15.057,35.6,32.6,41.5
13.5,5.9,33107,19.583,40.675,24.911,14.831,31.8,32.4,47.5
14.4,8.1,36016,13.828,42.614,26.941,16.616,36.3,33.2,42.6
13.4,7.8,43819,17.766,43.034,28.573,10.626,36.5,31.9,42.6
15.1,9.7,29073,23.614,31.443,33.278,11.665,43.6,37,37.6
12.5,7.4,34821,18.552,35.569,31.032,14.847,36.5,39.4,41.1
15.5,7,36125,21.284,42.458,26.682,9.576,39.9,39.9,39.8
14.2,6.3,32941,15.737,36.938,35.057,12.268,33.8,39.7,43.5
11.7,6.3,42916,16.537,33.776,28.353,21.334,32.3,32.2,35.3
14.9,5.8,40340,17.625,43.388,25.963,13.023,37.1,37.7,45.2
13.1,5.6,47966,9.913,27.104,30.05,32.933,32.3,28,36.2
14.3,8,38647,16.716,38.343,31.264,13.677,35.2,40.4,42.1
16.6,8.8,39675,22.032,38.733,28.839,10.396,44.5,39.6,37.2
13.5,4.9,63618,10.735,33.447,31.287,24.53,32.8,33,38.7
13.1,5.1,34245,23.586,38.466,27.366,10.582,33.5,34.8,40.9
14.7,6.4,29747,15.432,42.071,28.053,14.444,36.3,37.5,46.7
12.4,5.7,42559,17.522,31.905,31.783,18.789,34.8,29.2,36.9
11.8,7.1,38697,30.391,34.555,25.672,9.381,36.8,33.5,34.5
15,8.5,32379,16.77,43.157,29.984,10.09,37.1,31.5,46.8
14.6,7.7,31955,23.469,35.05,27.034,14.447,34.6,36.4,48
13.4,7.5,41546,16.251,35.96,28.56,19.229,38.6,34.7,39.7
12.3,8.2,38166,15.672,45.188,25.521,13.618,34,34.6,47
9.9,4.4,46367,15.82,27.491,25.512,31.177,29.9,25.7,31.2
10.5,7.1,44329,15.968,38.17,26.52,19.342,38,32.1,36
14.6,7.7,30400,24.479,45.449,19.856,10.217,36.4,33.3,43.6
13.2,5.7,38658,22.148,40.865,22.609,14.378,36.5,34.9,38.8
8.2,5.8,89472,12.701,17.998,25.413,43.888,18.9,16.7,36.9
10.3,8.2,57481,8.861,32.532,28.861,29.747,22.8,18.9,43.6
9.1,8.3,59789,11.657,26.762,40.068,21.513,25.3,18.2,49.6
9.3,8.6,45097,11.739,22.698,39.418,26.146,25.4,19.9,36.9
9.8,8,57990,9.594,27.221,42.965,20.22,25.8,19.4,50.3
9.7,17.4,54861,31.944,21.849,31.78,14.427,26.8,18.6,34.1
9.3,6.2,90920,10.941,18.169,30.62,40.27,24.2,17.7,38.7
8.6,10.1,39458,17.846,30.747,36.501,14.907,24.5,18.8,39.2
7.6,7,75100,7.374,21.762,37.881,32.983,18.7,17.2,44.4
9.6,11.6,48323,26.224,22.742,31.301,19.732,26.8,21.2,31.2
8.1,10.6,46141,27.46,27.88,31.952,12.708,27,21.1,36.7
8,6.7,43164,9.674,24.736,37.364,28.226,27.5,16.2,37.4
8.5,24,43327,32.973,22.478,30.592,13.957,28.1,22.4,31.9
9.4,6.8,53350,11.532,31.217,32.759,24.492,23.9,20.2,45.3
8.8,10.4,49812,26.4,27.218,30.717,15.665,31.6,23.6,31
7.2,11.9,51320,27.149,26.41,33.653,12.789,25.9,19.7,31.2
10.3,8.9,40818,16.287,27.824,39.732,16.157,26.3,19.2,45.2
7.8,9.1,49793,18.604,30.897,37.961,12.538,25.7,21.3,37.3
9,8.2,61308,22.282,20.679,26.275,30.764,21.6,18,35.3
7.8,11.2,49467,28.296,25.899,32.675,13.13,26.3,19.6,33.3
6.8,4.3,103488,6.893,11.265,24.76,57.081,18.1,12,45.1
9.5,8.8,51233,10.532,28.353,38.479,22.637,24.8,19.2,50.2
8.3,7,45247,13.459,26.205,36.257,24.079,24.9,17.8,42
8.8,12.8,47442,31.391,25.24,29.707,13.662,26.3,19.3,30.2
10.3,10.3,42890,13.587,27.084,41.059,18.27,23,18.4,47.1
7.2,7,56574,16.001,17.993,35.361,30.645,22.8,16.4,37.2
7.1,9,62999,29.101,20.365,26.885,23.649,24.6,17.2,33.3
8.2,5.7,73112,16.095,18.791,32.068,33.046,23.2,16.9,40.3
8.7,6.5,60501,6.668,19.6,39.33,34.402,21.1,16.7,48.8
7.7,5.5,81642,15.49,17.421,28.641,38.447,19.2,16.3,36.7
7.9,6.3,85326,5.799,19.208,38.091,36.902,20.7,14.8,40.7
9.9,11.5,53646,8.09,23.857,46.114,21.939,23.3,15.7,50.6
9,8.2,59951,19.521,25.889,33.401,21.189,25.8,21.2,34.2
8.7,7.3,59728,13.221,22.403,35.093,29.284,27.6,18.3,35.3
7.6,9.3,73298,21.704,24.637,34.704,18.955,22.8,20,34.8
8.6,8,56194,21.208,26.219,33.257,19.317,27.3,21.3,32.2
7.2,6.4,70693,13.598,18.81,31.097,36.494,20.1,15.5,34.9
7.9,4.4,101873,12.56,12.465,20.182,54.793,18.1,15.2,38.6
10.5,10.5,59038,22.015,26.649,33.173,18.162,28,22.1,33.2
7.6,5.6,69517,9.876,19.368,36.697,34.059,22.9,14.7,39.5
8.8,4.2,107075,11.372,15.946,25.63,47.051,18.7,15.5,39.4
7.3,6.1,66360,19.948,17.893,29.928,32.231,20.5,16.3,33.6
